"filename", "language", "JSON", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\styles.ts", "TypeScript", 0, 0, 1, 0, 0, 1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\styles.ts", "TypeScript", 0, 0, 3, 0, 1, 4
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\index.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, -1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\styles.ts", "TypeScript", 0, 0, 3, 0, 0, 3
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\index.tsx", "TypeScript JSX", 0, 45, 0, 0, 7, 52
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\styles.ts", "TypeScript", 0, 0, 44, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\table.tsx", "TypeScript JSX", 0, 177, 0, 16, 18, 211
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\index.tsx", "TypeScript JSX", 0, 57, 0, 0, 8, 65
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\styles.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\table.tsx", "TypeScript JSX", 0, 269, 0, 8, 25, 302
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\index.tsx", "TypeScript JSX", 0, 61, 0, 0, 8, 69
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\styles.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\table.tsx", "TypeScript JSX", 0, 269, 0, 8, 25, 302
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\form-modal.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, -1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\styles.ts", "TypeScript", 0, 0, 3, 0, 0, 3
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\table.tsx", "TypeScript JSX", 0, 12, 0, 0, 1, 13
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\customer-form.tsx", "TypeScript JSX", 0, 94, 0, 1, 12, 107
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\index.tsx", "TypeScript JSX", 0, 138, 0, 0, 16, 154
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\invoice-form.tsx", "TypeScript JSX", 0, 151, 0, 1, 17, 169
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\styles.ts", "TypeScript", 0, 0, 89, 0, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\table.tsx", "TypeScript JSX", 0, 123, 0, 0, 18, 141
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\index.tsx", "TypeScript JSX", 0, 48, 0, 0, 7, 55
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\styles.ts", "TypeScript", 0, 0, 57, 0, 10, 67
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\table.tsx", "TypeScript JSX", 0, 268, 0, 52, 26, 346
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\form-modal.tsx", "TypeScript JSX", 0, 76, 0, 41, 11, 128
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\index.tsx", "TypeScript JSX", 0, 78, 0, 1, 10, 89
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\styles.ts", "TypeScript", 0, 0, 47, 0, 1, 48
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\table.tsx", "TypeScript JSX", 0, 277, 0, 13, 27, 317
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\customer-form.tsx", "TypeScript JSX", 0, 15, 0, 0, 1, 16
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\index.tsx", "TypeScript JSX", 0, 55, 0, 0, 4, 59
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\invoice-form.tsx", "TypeScript JSX", 0, 28, 0, -1, 2, 29
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\styles.ts", "TypeScript", 0, 0, 32, 0, 3, 35
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\table.tsx", "TypeScript JSX", 0, 41, 0, -8, 0, 33
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\credit\index.tsx", "TypeScript JSX", 0, 77, 0, 0, 9, 86
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\credit\styles.ts", "TypeScript", 0, 0, 75, 0, 12, 87
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\credit\table.tsx", "TypeScript JSX", 0, 242, 0, 57, 29, 328
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\index.tsx", "TypeScript JSX", 0, 17, 0, 0, 1, 18
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\styles.ts", "TypeScript", 0, 0, 31, 0, 10, 41
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\table.tsx", "TypeScript JSX", 0, 109, 0, -3, 11, 117
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\customer-form.tsx", "TypeScript JSX", 0, 47, 0, 0, 5, 52
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\index.tsx", "TypeScript JSX", 0, 66, 0, 0, 8, 74
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\styles.ts", "TypeScript", 0, 0, 84, 5, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\table.tsx", "TypeScript JSX", 0, 147, 0, 0, 14, 161
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\form-modal.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, -1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\styles.ts", "TypeScript", 0, 0, 6, 0, 0, 6
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\table.tsx", "TypeScript JSX", 0, 17, 0, 0, 1, 18
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\closing-stocks\index.tsx", "TypeScript JSX", 0, 53, 0, 0, 9, 62
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\closing-stocks\styles.ts", "TypeScript", 0, 0, 44, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\closing-stocks\table.tsx", "TypeScript JSX", 0, 182, 0, 16, 18, 216
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\in-stocks\index.tsx", "TypeScript JSX", 0, 63, 0, 0, 9, 72
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\in-stocks\styles.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\in-stocks\table.tsx", "TypeScript JSX", 0, 271, 0, 8, 25, 304
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\out-stocks\index.tsx", "TypeScript JSX", 0, 58, 0, 0, 9, 67
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\out-stocks\styles.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\out-stocks\table.tsx", "TypeScript JSX", 0, 250, 0, 8, 22, 280
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\add\index.tsx", "TypeScript JSX", 0, 138, 0, 0, 16, 154
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\add\invoice-form.tsx", "TypeScript JSX", 0, 151, 0, 1, 17, 169
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\add\styles.ts", "TypeScript", 0, 0, 89, 0, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\add\table.tsx", "TypeScript JSX", 0, 123, 0, 0, 18, 141
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\add\user-form.tsx", "TypeScript JSX", 0, 90, 0, 1, 12, 103
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\index.tsx", "TypeScript JSX", 0, 53, 0, 0, 7, 60
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\styles.ts", "TypeScript", 0, 0, 57, 0, 10, 67
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-transfer-table\table.tsx", "TypeScript JSX", 0, 260, 0, 52, 26, 338
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\summary-table\index.tsx", "TypeScript JSX", 0, 38, 0, 1, 10, 49
