"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "Markdown", "SVG", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getInStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getOutStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\summary\queries\getSummary.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\mutations\addSupplier.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\mutations\updateSupplier.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\queries\getAllSuppliers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\mutations\provideSupply.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\mutations\updateSupply.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getCreditSupplyByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getSupplyByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getSupplyById.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\transfer\mutations\transferSalesman.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
